Writer_ID,Name,Birth_Year,Nationality_ID,Biography
WT001,Jane Austen,1775,NT002,"Novelist known for her six major novels, including 'Pride and Prejudice' and 'Sense and Sensibility,' which critique the British landed gentry at the end of the 18th century."
WT002,Harper Lee,1926,NT001,"Author of 'To Kill a Mockingbird,' a novel that addresses serious issues like racial injustice and moral growth in the Deep South."
WT003,George Orwell,1903,NT002,"Novelist and essayist, known for his works '1984' and 'Animal Farm,' which critique totalitarianism and social injustice."
WT004,F. Scott Fitzgerald,1896,NT001,"Novelist and short story writer, best known for 'The Great Gatsby,' a depiction of the American Jazz Age and its moral decay."
WT005,Herman Melville,1819,NT001,"Author of 'Moby-Dick,' a complex novel exploring themes of obsession, revenge, and humanity's relationship with nature."
WT006,Leo Tolstoy,1828,NT003,"Renowned for epic novels 'War and Peace' and 'Anna Karenina,' which explore themes of love, family, and morality."
WT007,Fyodor Dostoevsky,1821,NT003,"Philosopher and novelist known for works like 'Crime and Punishment' and 'The Brothers Karamazov,' exploring psychological and existential themes."
WT008,J.D. Salinger,1919,NT001,"Best known for 'The Catcher in the Rye,' a novel that explores themes of teenage angst and alienation."
WT009,Emily Brontë,1818,NT002,"Poet and novelist, known for 'Wuthering Heights,' a tale of passion and revenge set on the Yorkshire moors."
WT010,Aldous Huxley,1894,NT002,"Author of 'Brave New World,' a dystopian novel that critiques consumerism and technological advancement."
WT011,Frank Herbert,1920,NT001,"Best known for 'Dune,' a science fiction novel that explores politics, religion, and ecology in a distant future."
WT012,J.R.R. Tolkien,1892,NT002,"Author of 'The Hobbit' and 'The Lord of the Rings,' foundational works in the fantasy genre, known for their rich world-building."
WT013,William Gibson,1948,NT001,"Known for pioneering the cyberpunk genre with his novel 'Neuromancer,' exploring themes of technology and society."
WT014,Ursula K. Le Guin,1929,NT001,"Author of 'The Left Hand of Darkness' and 'The Dispossessed,' known for her thought-provoking science fiction and fantasy."
WT015,Isaac Asimov,1920,NT001,"Famous for his works in science fiction, including the 'Foundation' series and 'I, Robot,' exploring robotics and ethics."
WT016,Ray Bradbury,1920,NT001,"Author of 'Fahrenheit 451,' a dystopian novel that critiques censorship and the suppression of dissenting ideas."
WT017,Neal Stephenson,1959,NT001,"Known for speculative fiction works like 'Snow Crash' and 'Cryptonomicon,' exploring technology and society."
WT018,Orson Scott Card,1951,NT001,"Best known for 'Ender's Game,' a science fiction novel that examines themes of leadership and morality in warfare."
WT019,Neil Gaiman,1960,NT002,"Author of 'American Gods' and 'Coraline,' known for blending fantasy with mythology and horror."
WT020,Gillian Flynn,1971,NT001,"Author of psychological thrillers like 'Gone Girl,' known for her complex characters and dark themes."
WT021,Stieg Larsson,1954,NT004,"Best known for the 'Millennium' series, including 'The Girl with the Dragon Tattoo,' which combines crime and social commentary."
WT022,Arthur Conan Doyle,1859,NT002,"Creator of Sherlock Holmes, the iconic detective known for his logical reasoning and keen observation."
WT023,Agatha Christie,1890,NT002,Prolific mystery writer known for her detective novels featuring Hercule Poirot and Miss Marple.
WT024,Dan Brown,1964,NT001,"Author of thrillers like 'The Da Vinci Code,' known for blending history, art, and conspiracy."
WT025,Tana French,1973,NT005,"Author of psychological crime thrillers, including 'In the Woods,' known for her character-driven narratives."
WT026,Daphne du Maurier,1907,NT002,"Known for novels like 'Rebecca,' which blend romance and suspense with gothic elements."
WT027,Liane Moriarty,1967,NT006,"Author of bestselling novels like 'Big Little Lies,' which explore complex relationships and social issues."
WT028,Thomas Harris,1940,NT001,"Best known for his psychological thrillers featuring Dr. Hannibal Lecter, including 'The Silence of the Lambs.'"
WT029,Stephen King,1947,NT001,"Prolific author known for horror, supernatural fiction, suspense, and fantasy novels, including 'The Shining' and 'It.'"
WT030,Margaret Atwood,1939,NT007,"Author of 'The Handmaid's Tale' and 'Oryx and Crake,' known for her speculative fiction and feminist themes."
WT031,Chimamanda Ngozi Adichie,1977,NT008,"Author of 'Half of a Yellow Sun' and 'Americanah,' known for her exploration of identity, feminism, and post-colonialism."
WT032,Salman Rushdie,1947,NT009,"Known for 'Midnight's Children' and 'The Satanic Verses,' blending magical realism with historical fiction."
WT033,J.K. Rowling,1965,NT002,"Author of the 'Harry Potter' series, a global phenomenon that has captivated readers of all ages."
WT034,John Grisham,1955,NT001,"Best known for his legal thrillers, including 'A Time to Kill' and 'The Firm.'"
WT035,Elena Ferrante,1943,NT010,"Author of the 'Neapolitan Novels,' exploring female friendship and identity against the backdrop of Naples."
WT036,Colson Whitehead,1969,NT001,"Author of 'The Underground Railroad' and 'The Nickel Boys,' known for blending history with fiction."
WT037,Danielle Steel,1947,NT001,"Prolific author known for her romance novels, with over 180 published works."
WT038,Michael Connelly,1956,NT001,"Best known for his crime novels featuring detective Harry Bosch, including 'The Black Echo.'"
WT039,Patricia Highsmith,1921,NT001,"Known for psychological thrillers, including 'Strangers on a Train' and the Tom Ripley series."
WT040,George R.R. Martin,1948,NT001,"Author of the 'A Song of Ice and Fire' series, which inspired the television series 'Game of Thrones.'"
WT041,Maya Angelou,1928,NT001,"Renowned poet and memoirist, known for 'I Know Why the Caged Bird Sings,' exploring themes of identity and resilience."
WT042,Zadie Smith,1975,NT002,"Author of 'White Teeth' and 'On Beauty,' known for her exploration of multiculturalism and identity."
WT043,David Mitchell,1969,NT002,"Known for 'Cloud Atlas' and 'The Bone Clocks,' blending genres and narrative styles."
WT044,Tom Wolfe,1930,NT001,"A key figure in the New Journalism movement, known for 'The Electric Kool-Aid Acid Test' and 'The Bonfire of the Vanities.'"
WT045,Toni Morrison,1931,NT001,"Nobel Prize-winning author known for 'Beloved' and 'Song of Solomon,' exploring African American identity and history."
WT046,Virginia Woolf,1882,NT002,"A modernist writer known for her novels 'Mrs Dalloway' and 'To the Lighthouse,' and her essays on feminism."
WT047,James Baldwin,1924,NT001,"Novelist and essayist known for his works on race, sexuality, and identity, including 'Go Tell It on the Mountain.'"
WT048,Philip K. Dick,1928,NT001,Prolific science fiction writer known for works like 'Do Androids Dream of Electric Sheep?' and 'The Man in the High Castle.'
WT049,John Steinbeck,1902,NT001,"Author of 'The Grapes of Wrath' and 'Of Mice and Men,' known for his portrayal of social issues during the Great Depression."
WT050,Kurt Vonnegut,1922,NT001,"Known for his satirical novels, including 'Slaughterhouse-Five' and 'Cat's Cradle,' blending science fiction and dark humor."
WT051,Arthur C. Clarke,1917,NT002,"Science fiction writer known for '2001: A Space Odyssey' and 'Rendezvous with Rama,' exploring space and technology."
WT052,Chuck Palahniuk,1962,NT001,"Author of 'Fight Club' and other transgressive fiction, known for his dark humor and social commentary."
WT053,Joyce Carol Oates,1938,NT001,"Prolific author known for her novels, short stories, and essays, exploring themes of violence and identity."
WT054,Richard Wright,1908,NT001,"Author of 'Native Son' and 'Black Boy,' known for his exploration of race and identity in America."
WT055,Octavia Butler,1947,NT001,"Pioneering science fiction writer known for works like 'Kindred' and the 'Patternist' series, exploring themes of race and gender."
WT056,Raymond Carver,1938,NT001,Short story writer and poet known for his minimalist style and works like 'What We Talk About When We Talk About Love.'
WT057,John Updike,1932,NT001,"Known for his 'Rabbit' series and his explorations of American life, culture, and sexuality."
WT058,Harlan Ellison,1934,NT001,"Prolific science fiction writer known for his short stories and television work, including 'I Have No Mouth, and I Must Scream.'"
WT059,David Foster Wallace,1962,NT001,"Author of 'Infinite Jest,' known for his complex narratives and exploration of contemporary culture and consciousness."
WT060,Anne Rice,1941,NT001,"Best known for her 'The Vampire Chronicles' series, including 'Interview with the Vampire,' blending horror and gothic elements."
WT061,Philip Pullman,1946,NT002,"Author of the 'His Dark Materials' trilogy, known for its rich world-building and exploration of philosophical themes."
WT062,Elmore Leonard,1925,NT001,Prolific crime novelist known for his sharp dialogue and works like 'Get Shorty' and 'Rum Punch.'
WT063,Stephen Hawking,1942,NT002,"Renowned physicist and author of popular science books, including 'A Brief History of Time,' which explores complex scientific concepts."
WT064,Richard Adams,1920,NT002,"Author of 'Watership Down,' an allegorical novel about a group of rabbits seeking a new home."
WT065,Chinua Achebe,1930,NT008,"Author of 'Things Fall Apart,' a seminal work in African literature that explores colonialism and cultural identity."
WT066,John Green,1977,NT001,"Young adult author known for 'The Fault in Our Stars' and 'Looking for Alaska,' exploring themes of love and loss."
WT067,Amy Tan,1952,NT001,"Author of 'The Joy Luck Club,' known for her exploration of Chinese-American identity and family dynamics."
WT068,David Sedaris,1966,NT001,"Humorist and essayist known for his witty personal essays and memoirs, including 'Me Talk Pretty One Day.'"
WT069,Barbara Kingsolver,1955,NT001,"Author of 'The Poisonwood Bible' and 'Animal, Vegetable, Miracle,' known for her focus on environmental issues and social justice."
WT070,Neil Stephenson,1959,NT001,"Known for speculative fiction works like 'Snow Crash' and 'Cryptonomicon,' exploring technology and society."
WT071,Marilynne Robinson,1943,NT001,"Author of 'Gilead' and 'Home,' known for her lyrical prose and exploration of faith and community."
WT072,Naomi Novik,1973,NT001,"Author of the 'Temeraire' series and 'Uprooted,' known for her blend of fantasy and historical fiction."
WT073,Ken Follett,1949,NT002,"Author of historical novels such as 'The Pillars of the Earth' and 'World Without End,' known for their intricate plots."
WT074,Peter Ackroyd,1949,NT002,"Author and biographer known for his works on London and literary figures, blending history and fiction."
WT075,Dan Simmons,1948,NT001,"Known for his science fiction and horror works, including 'Hyperion' and 'The Terror.'"
WT076,Ernest Hemingway,1899,NT001,Nobel Prize-winning author known for his terse prose and works like 'The Old Man and the Sea' and 'A Farewell to Arms.'
WT077,Virginia Andrews,1923,NT001,"Author of the 'Dollanganger' series, including 'Flowers in the Attic,' known for family sagas and gothic themes."
WT078,William Faulkner,1897,NT001,Nobel Prize-winning author known for his complex narratives and works like 'The Sound and the Fury' and 'As I Lay Dying.'
WT079,John Steinbeck,1902,NT001,"Author of 'The Grapes of Wrath' and 'Of Mice and Men,' known for his portrayal of social issues during the Great Depression."
WT080,Julia Alvarez,1950,NT011,"Author of 'In the Time of the Butterflies' and 'How the García Girls Lost Their Accents,' exploring themes of identity and culture."
WT081,Oscar Wilde,1854,NT005,Playwright and poet known for his wit and works like 'The Picture of Dorian Gray' and 'The Importance of Being Earnest.'
WT082,Haruki Murakami,1949,NT014,"Renowned novelist known for works like 'Norwegian Wood' and 'Kafka on the Shore,' blending surrealism with themes of loneliness and alienation."
WT083,Ray Bradbury,1920,NT001,"Author of 'Fahrenheit 451' and 'The Martian Chronicles,' known for his imaginative storytelling and critiques of society."
WT084,Marilynne Robinson,1943,NT001,"Author of 'Gilead' and 'Home,' known for her lyrical prose and exploration of faith and community."
WT085,Shakespeare,1564,NT002,"Playwright and poet, widely regarded as one of the greatest writers in the English language, known for works like 'Hamlet' and 'Romeo and Juliet.'"
WT086,Jean-Paul Sartre,1905,NT002,"Philosopher and playwright known for his existentialist works, including 'Nausea' and 'No Exit.'"
WT087,Simone de Beauvoir,1908,NT002,"Philosopher and feminist known for 'The Second Sex,' a foundational text in feminist theory."
WT088,Chinua Achebe,1930,NT008,"Author of 'Things Fall Apart,' a seminal work that explores the effects of colonialism on African culture."
WT089,Khaled Hosseini,1965,NT013,"Author of 'The Kite Runner' and 'A Thousand Splendid Suns,' exploring themes of friendship, betrayal, and redemption."
WT090,Annie Proulx,1935,NT001,"Author of 'The Shipping News' and 'Barkskins,' known for her vivid storytelling and exploration of rural life."
WT091,Elizabeth Gilbert,1969,NT001,"Author of 'Eat, Pray, Love,' a memoir that explores self-discovery and spirituality."
WT092,Colm Tóibín,1955,NT005,"Author of 'Brooklyn' and 'The Master,' known for his nuanced explorations of identity and belonging."
WT093,David Mamet,1947,NT001,Playwright and screenwriter known for his sharp dialogue and works like 'Glengarry Glen Ross' and 'American Buffalo.'
WT094,Isabel Allende,1942,NT015,"Author of 'The House of the Spirits' and 'Eva Luna,' known for her magical realism and exploration of women's experiences."
WT095,Tom Robbins,1932,NT001,"Known for his quirky novels like 'Still Life with Woodpecker' and 'Jitterbug Perfume,' blending humor and philosophy."
WT096,Jonathan Safran Foer,1977,NT001,"Author of 'Everything Is Illuminated' and 'Extremely Loud and Incredibly Close,' known for his innovative narrative style."
WT097,George Saunders,1958,NT001,"Author of short stories and novels like 'Lincoln in the Bardo,' known for his satirical and poignant explorations of contemporary life."
WT098,Louise Erdrich,1954,NT001,"Author of 'Love Medicine' and 'The Round House,' known for her exploration of Native American life and culture."
WT099,Michael Ondaatje,1943,NT012,"Author of 'The English Patient,' blending history and memory in his lyrical prose."
WT100,Susan Sontag,1933,NT001,"Cultural critic and essayist known for her works on art, photography, and the human experience, including 'On Photography.'"
WT101,John Bunyan,1628,NT002,"English Christian preacher and writer and his work has had a profound impact on English devotional literature, capturing themes of faith, redemption, and perseverance."
